TRIP_DURATION,DISTANCE_TRAVELED,NUM_OF_PASSENGERS,FARE,TIP,MISCELLANEOUS_FEES,TOTAL_FARE,SURGE_APPLIED
1848,5,1,143,17,26,186,1
319,2,1,41,0,27,68,1
962,13,1,180,37,6,223,0
718,5,1,94,0,6,100,0
626,3,2,68,19,26,113,1
1202,6,1,120,29,27,176,1
751,4,1,79,0,6,85,0
281,1,1,38,0,6,44,0
319,1,1,41,0,10,51,0
1461,5,1,124,0,14,137,0
468,2,1,53,0,6,59,0
660,2,1,68,0,6,74,0
571,3,1,68,22,6,96,0
536,1,1,53,16,14,83,0
319,2,1,45,15,6,66,0
2351,9,1,199,0,27,225,1
264,2,5,41,0,6,47,0
1146,4,1,98,37,27,161,1
1592,6,1,131,0,27,158,1
462,2,2,53,0,6,59,0
194,1,1,34,8,6,48,0
762,6,5,105,24,13,142,0
994,3,1,86,0,6,92,0
516,4,2,79,0,6,85,0
768,2,1,71,0,27,98,1
1191,6,2,116,0,14,130,0
200,1,1,34,0,14,47,0
977,4,1,94,19,26,139,1
902,3,1,86,20,13,120,0
2170,12,6,191,0,27,218,1
768,4,1,128,26,2,156,0
1180,4,2,98,0,14,111,0
2138,17,1,255,0,6,261,0
1691,12,1,191,22,56,269,0
2245,17,2,263,0,6,269,0
2527,27,1,371,85,55,512,0
661,3,1,75,0,6,81,0
255,2,1,41,8,14,63,0
830,3,1,79,32,26,137,1
1738,8,1,150,31,6,187,0
416,3,1,56,0,6,62,0
565,3,2,68,0,6,74,0
820,3,1,75,15,27,117,1
762,2,2,68,24,14,105,0
800,3,1,75,0,6,81,0
2700,30,2,510,45,51,606,0
2200,14,1,225,0,6,231,0
716,3,1,71,0,6,77,0
85740,1,1,53,0,2,55,0
461,3,1,64,21,6,91,0
791,5,1,90,23,27,140,1
1413,9,1,154,0,10,164,0
1756,8,5,165,35,31,231,1
755,3,1,75,15,27,117,1
234,1,1,38,8,13,59,0
889,5,1,101,0,10,111,0
496,3,1,60,13,6,79,0
1225,6,1,124,26,6,156,0
1154,5,2,113,28,26,167,1
1191,4,1,109,24,27,160,1
291,1,1,38,15,10,62,0
1066,6,1,113,24,6,142,0
140,1,2,30,9,13,52,0
601,2,1,64,17,6,87,0
4462,19,1,375,0,6,381,0
1084,5,1,109,24,14,147,0
973,4,1,94,21,9,124,0
441,2,1,53,12,6,70,0
345,1,1,41,11,13,66,0
3446,27,1,394,22,56,471,0
681,2,1,64,0,6,70,0
4339,8,2,304,0,10,314,0
